question,chunk id,intent label,doc title,chunk title,answer
Can I get my delivery charge refunded if Amazon misses a guaranteed delivery date?,late_delivery_007,late_delivery,Late Deliveries,Guaranteed deliveries,You may be eligible for a delivery fee refund if the guaranteed delivery promise was not met.
My guaranteed delivery date was missed. Can I get a refund?,late_delivery_007,late_delivery,Late Deliveries,Guaranteed deliveries,You may be eligible for a delivery fee refund if the guaranteed delivery promise was missed.
amazon missed guaranteed delivery can i get delivery fee back,late_delivery_007,late_delivery,Late Deliveries,Guaranteed deliveries,You may be eligible for a delivery fee refund if the guaranteed delivery promise was missed.
my guaranteed delivery didnt happen,late_delivery_007,late_delivery,Late Deliveries,Guaranteed deliveries,You may be eligible for a delivery fee refund if the guaranteed delivery date was missed.
"If I return a gift, where does the refund go?",amz_track_005,gift_return_refund_destination,Tracking Returns and Refund Status,Gift Return Refund Distribution,The refund goes to the Amazon gift card balance of the account used to create the return request.
What condition does my item need to be in for a successful return?,amz_ret_001,item_return_condition_check,General Amazon Return Policy,General Return Eligibility,Most items must be returned in original or unused condition to qualify for a refund or replacement.
Does Amazon offer free return options nearby?,amz_ret_001,free_return_location_inquiry,General Amazon Return Policy,General Return Eligibility,Yes. Eligible items can often be returned for free at thousands of nearby return locations.
An item is missing from my package. What should I check first?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see whether the missing item is in another shipment. Then select Track Package to see the delivery date for that shipment.
What if there is no tracking information for my missing item?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"If there is no tracking information for the missing item, Customer Service will assist you."
One item from my Amazon order is missing. What should I do first?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see whether the missing item was shipped separately.
Why did I receive only some items from my order?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Your order may have been split into multiple shipments, so another item may still be on the way."
One item is missing from my package. What should I do?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check whether the missing item was shipped separately in Your Orders.
I received only part of my order. What now?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see if the remaining item is arriving separately.
My box did not contain everything I ordered. What should I check?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check the order details and packaging to see whether items were split or packed separately.
Why did Amazon send only some items?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Items from one order may ship separately, so another item may still be on the way."
My order arrived but one product is not inside. What do I do?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Check whether the item shipped separately. If not, contact Customer Service."
I got the package but the item is absent. What is the next step?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Check if it was shipped separately, then contact support if it was not."
My order says delivered but one item is missing from the box.,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check whether the item was shipped separately or contact support if it was included in the same shipment.
The package came but not all products were there.,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to confirm if the missing products are in another shipment.
I ordered two items but received only one.,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check if the second item has a separate shipment or delivery date.
"My delivered package is missing, but one item is also missing from the order. What should I choose?",missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"If the package arrived but one item is absent, treat it as a missing item from the order."
My package arrived late and one item is not inside. What is the issue?,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Since the package arrived but an item is missing, check if that item shipped separately."
"Tracking says delivered, but I received only one of two products.",missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see whether the second product is in a separate shipment.
"My item was not in the box, but tracking says delivered.",missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Since the box arrived but the item is missing, check if the item shipped separately or contact support."
i got the box but one item is missing,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see whether the missing item was shipped separately.
ordered 2 products got only 1 what do i do,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check whether the second product has a separate shipment or delivery date.
my parcel came but the actual item wasnt inside,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,"Check if the item shipped separately, then contact support if it was not."
i got package but one thing is not there,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see whether the missing item shipped separately.
my box has only half the order,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check whether the remaining items have separate shipments or delivery dates.
ordered 4 items got 3 only,missing_item_from_order_002,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped by Amazon,Check Your Orders to see if the fourth item is arriving separately.
A third-party seller item is missing from my package. Who should I contact?,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller for assistance.
What should I do if a seller item is missing from my package?,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller for help with the missing item.
What should I do if a seller item is missing?,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller for help with the missing item.
What if my third-party seller order arrived incomplete?,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller through Your Orders.
seller order arrived but some parts are not there,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller for help with the missing item.
seller sent package but item missing inside,missing_item_from_order_003,missing_item_from_order,Find a Missing Item from Your Order,Find a missing item shipped and sold by a third-party seller,Contact the third-party seller through Your Orders.
Does Amazon offer DHL pickup for international returns?,amz_int_002,dhl_return_pickup_inquiry,International and Special Item Returns,DHL Drop-Off and Pickup Services,Yes. DHL Express pickup scheduling is available in select countries.
My credit card expired. Where will my refund go?,amz_ref_004,alternate_refund_method,"Refund Processing, Timelines, and Refund Types",Declined Refunds,"If the original payment method cannot receive the refund, Amazon issues it to your Amazon account balance."
What should I do if a Final Sale item arrives damaged?,amz_ret_009,damaged_final_sale_item_support,Non-Returnable and Final Sale Items,Damaged Final Sale Items,"You should contact Customer Service if a Final Sale or non-returnable item arrives damaged, defective, or different from the order."
Can Amazon reduce my refund if the product is damaged?,amz_fee_003,damaged_return_refund_policy,"Return Fees, Damage Fees, and Partial Refunds",Damage Fees,"Yes. Damage fees may apply if the returned item is damaged, missing parts, or not in original condition."
Are personalized products refundable?,amz_ret_008,non_returnable_item_check,Non-Returnable and Final Sale Items,Customized and Final Sale Items,No. Customized or personalized products are non-returnable and non-refundable.
"If I pay for return shipping myself, will Amazon reimburse me?",amz_int_003,postage_reimbursement_policy,International and Special Item Returns,Customer-Paid Return Shipping,Amazon may reimburse up to $25 in return postage costs depending on the country and return eligibility.
Can I reopen my Amazon account after closing it?,amz_acc_002,closed_account_recovery,Account Closure and Gift Card Management,Consequences of Account Closure,No. Closed Amazon accounts cannot be restored.
How do I permanently close my Amazon account?,amz_acc_001,account_closure_process,Account Closure and Gift Card Management,Closing an Amazon Account,1. Go to Close Your Amazon Account → 2. Sign into the account → 3. Review associated products and services → 4. Select a closure reason → 5. Check the confirmation box → 6. Select Close my Account → 7. Verify the request through email or text within five days
How do I check my Amazon gift card balance?,amz_gc_001,gift_card_balance_check,Account Closure and Gift Card Management,Checking Gift Card Balances,1. Go to Your Account → 2. Select Gift Cards → 3. View your available gift card balance and transaction history
Can I change the delivery address after placing an order?,amz_ord_001,modify_delivery_address,"Replacements, Order Changes, and Cancellations",Changing Order Information,1. Go to Your Orders → 2. Select Order Details for the order → 3. Select Change beside the delivery address or other editable information → 4. Follow the on-screen instructions
Can I cancel an order that hasn’t shipped yet?,amz_can_001,order_cancellation_request,"Replacements, Order Changes, and Cancellations",Canceling Orders Before Shipping,Yes. Physical items and orders that have not entered the shipp1. Go to Your Orders → 2. Select View or Edit Order → 3. Select Cancel Items → 4. Choose the item(s) to cancel → 5. Select a cancellation reason → 6. Submit the cancellation requesting process can usually be canceled.
Can I return just one item from a savings bundle?,amz_int_007,bundle_return_policy,International and Special Item Returns,Bundle Purchase Returns,No. Items purchased in a Bundle with Savings promotion must be returned together.
Can I ship an Amazon order to a hotel?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Yes, but contact the hotel first, confirm its package policy, ask about required details or fees, add complete address details, and make sure the delivery date matches your stay."
Can I send an Amazon package to a hotel address?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Yes, but confirm the hotel’s package policy before placing the order."
What should I ask the hotel before ordering a package there?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Ask whether the hotel accepts packages, whether fees apply, and how they identify guest packages."
Can I ship an Amazon order to a hotel?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Yes, but confirm the hotel’s package policy before ordering."
What should I check before sending a package to a hotel?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Ask whether the hotel accepts packages, whether fees apply, and how packages are identified."
Does the hotel need to know about my Amazon delivery?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Yes. Confirm with the hotel that they can accept the package for you.
Can hotels charge fees for receiving Amazon packages?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Yes. Some hotels may charge package handling or storage fees.
What name should I use for hotel delivery?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Use the guest name and hotel address details clearly so the hotel can identify the package.
Should I ask the hotel about package storage?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Yes. Ask how long they hold packages and whether they charge fees.
Should I include my room number for hotel delivery?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Include clear guest information if the hotel requires it, but confirm their policy first."
Can I order to a hotel before I arrive?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Ask the hotel whether they accept packages before guest arrival.
Can a hotel reject packages from Amazon?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,Yes. That is why you should confirm the hotel’s package policy before ordering.
can i send my amazon order to my hotel?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Yes, but confirm the hotel’s package policy before placing the order."
can i order something to hotel address,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Yes, but confirm the hotel accepts packages before ordering."
hotel might charge for package delivery?,hotel_delivery_002,hotel_delivery,About Hotel Deliveries,Before placing your order,"Some hotels may charge handling or storage fees, so ask the hotel first."
Is there any protection if I have a problem with a third-party seller?,amz_seg_005,seller_protection_policy,Segment-Specific and Third-Party Seller Policies,A-to-z Guarantee Protection,Yes. Customers may use Amazon’s A-to-z Guarantee protection for seller-related issues.
Can I return medicine bought from Amazon Pharmacy?,amz_seg_001,pharmacy_return_policy,Segment-Specific and Third-Party Seller Policies,Amazon Pharmacy Policy,No. Amazon Pharmacy purchases are non-returnable and non-refundable.
Do Amazon Business purchases follow the same return rules?,amz_seg_002,business_account_return_policy,Segment-Specific and Third-Party Seller Policies,Amazon Business Policy,"Yes. Standard Amazon return policies also apply to Amazon Business purchases, although some special programs may have separate terms."
Will Amazon refund a package delivered to a hotel but lost before I receive it?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"No. Once the package receives a delivery scan at the hotel front desk, concierge desk, or designated receiving area, Amazon considers delivery successful and will not provide a replacement or refund if the guest later reports it missing."
Who is responsible if my hotel receives the package but loses it?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"After delivery is scanned at the hotel, Amazon is not responsible if the hotel loses the package."
Who is responsible after my package is delivered to the hotel?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"Once delivered to the hotel, Amazon is not responsible if the hotel loses it."
What happens if the hotel loses my delivered package?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"If delivery was completed to the hotel, Amazon is not responsible for hotel loss."
What if my hotel refuses the Amazon package?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,The package may become undeliverable and be returned.
Is Amazon responsible for hotel package handling?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"No. After delivery to the hotel, hotel handling is outside Amazon’s responsibility."
What should I do after ordering to a hotel?,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,Track the order and coordinate with the hotel for pickup.
The package came to my hotel but the hotel cannot find it.,hotel_delivery_003,hotel_delivery,About Hotel Deliveries,After ordering,"If delivery was completed to the hotel, Amazon is not responsible for hotel handling or loss."
What is an advanced refund?,amz_ref_003,advanced_refund_explanation,"Refund Processing, Timelines, and Refund Types",Advanced Refunds,An advanced refund is issued when the carrier first scans the returned item instead of waiting for Amazon to process it.
Can Amazon deliver to a hotel front desk?,hotel_delivery_001,hotel_delivery,About Hotel Deliveries,About Hotel Deliveries,"Yes, if the hotel accepts guest packages at the front desk or mailroom."
I accidentally bought a Kindle book. Can I return it?,amz_ret_004,digital_purchase_return,Return Windows and Eligibility Exceptions,7-Day Digital Purchase Returns,"Yes, accidentally purchased Kindle books that have not been read can be returned within 7 days."
Can the carrier help find a package that says delivered?,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,6 - You can check with the carrier,Yes. The carrier may have more information about the package location. Track it on the carrier website or contact the carrier.
How long should I wait if tracking says delivered but the package has not arrived?,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,Wait 48 hours because packages may be scanned as delivered before they actually arrive.
How long should I wait after a package is marked delivered?,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,Wait up to 48 hours because packages may be marked delivered before they actually arrive.
Why does Amazon say delivered when I have not received the package?,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,Sometimes packages are marked delivered before arrival. Wait up to 48 hours and check nearby locations.
My package was marked delivered today. Should I contact Amazon now?,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,Wait up to 48 hours because the package may still arrive.
it says delivered yesterday still cant find it,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,"Wait up to 48 hours, because packages may be marked delivered before they arrive."
should i wait if tracking says delivered but no package,missing_package_delivered_006,missing_package_delivered,Find a Missing Package that Shows as Delivered,5 - Wait 48 hours for the package to be delivered,Yes. Wait up to 48 hours because packages may be marked delivered early.
Should I ask neighbors if my package says delivered but is missing?,missing_package_delivered_005,missing_package_delivered,Find a Missing Package that Shows as Delivered,4 - Ask your household members and neighbors,Yes. Ask household members and neighbors whether someone else accepted the delivery.
Should I check with my family if my package is missing?,missing_package_delivered_005,missing_package_delivered,Find a Missing Package that Shows as Delivered,4 - Ask your household members and neighbors,Yes. Ask household members or neighbors whether they accepted the package.
Could my neighbor have received my package?,missing_package_delivered_005,missing_package_delivered,Find a Missing Package that Shows as Delivered,4 - Ask your household members and neighbors,Yes. Ask neighbors and household members whether they accepted it.
package marked delivered but maybe left with neighbour?,missing_package_delivered_005,missing_package_delivered,Find a Missing Package that Shows as Delivered,4 - Ask your household members and neighbors,Ask neighbors and household members whether they accepted the package.
maybe my family took the package how to check,missing_package_delivered_005,missing_package_delivered,Find a Missing Package that Shows as Delivered,4 - Ask your household members and neighbors,Ask household members and neighbors whether they accepted the package.
Can I return an Amazon Renewed Premium item after several months?,amz_ret_007,renewed_product_return_policy,Return Windows and Eligibility Exceptions,365-Day Renewed Premium Returns,Yes. Amazon Renewed Premium products are eligible for returns within 365 days.
Could my delivered package be in a safe place or alternate location?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,Yes. Check your delivery instructions in Your Addresses because the package may have been left where you requested.
Could Amazon have delivered my package somewhere around my house?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Yes. Check safe places around the delivery location, your mailbox, porch, reception area, or delivery instructions."
Where should I look if my package says delivered?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Check your porch, mailbox, reception area, safe places, and any delivery instructions."
Could the carrier leave my package in a safe place?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,Yes. Check safe locations around your delivery address.
My tracking says delivered to receptionist. What should I do?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Check with the reception desk, mailroom, or front office."
The carrier says delivered but I found nothing outside. What should I check?,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Check your mailbox, porch, garage, building entrance, and other safe places."
amazon says delivered but theres nothing at my door,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Check your porch, mailbox, reception area, building entrance, and other safe places nearby."
package delivered but not outside my door,missing_package_delivered_004,missing_package_delivered,Find a Missing Package that Shows as Delivered,3 - Check around the delivery location,"Check nearby safe places, mailbox, porch, reception, or building entrance."
Where should I check for proof that delivery was attempted or completed?,missing_package_delivered_003,missing_package_delivered,Find a Missing Package that Shows as Delivered,2 - Search for a notice of delivery attempt,"Check the Message Center, delivery confirmation in Your Orders, your mailbox or usual mail area, and any delivery photo."
What should I do if there is a delivery attempt notice?,missing_package_delivered_003,missing_package_delivered,Find a Missing Package that Shows as Delivered,2 - Search for a notice of delivery attempt,Check the notice for instructions from the carrier about redelivery or pickup.
Should I check for a delivery attempt notice?,missing_package_delivered_003,missing_package_delivered,Find a Missing Package that Shows as Delivered,2 - Search for a notice of delivery attempt,Yes. Look for a notice from the carrier with pickup or redelivery instructions.
delivery attempted notice left what should i do,missing_package_delivered_003,missing_package_delivered,Find a Missing Package that Shows as Delivered,2 - Search for a notice of delivery attempt,Follow the carrier instructions on the delivery attempt notice.
Are Apple products covered under the normal 30-day return policy?,amz_ret_005,apple_product_return_policy,Return Windows and Eligibility Exceptions,15-Day Apple Product Returns,No. New Apple brand products have a 15-day return window.
My package says delivered but I cannot find it. What should I do first?,missing_package_delivered_002,missing_package_delivered,Find a Missing Package that Shows as Delivered,1 - Confirm shipping address in Your Orders,First verify that the shipping address in Your Orders is correct.
"My package says delivered, but I do not see it. What should I check?",missing_package_delivered_002,missing_package_delivered,Find a Missing Package that Shows as Delivered,1 - Confirm shipping address in Your Orders,First check Your Orders and confirm that the delivery address is correct.
Should I check my delivery address if my package is missing?,missing_package_delivered_002,missing_package_delivered,Find a Missing Package that Shows as Delivered,1 - Confirm shipping address in Your Orders,Yes. Confirm the shipping address in Your Orders first.
